Id,Name,Project,Score
577,projekt-detail_146,IS0903,0.1621824166
1422,projekt-detail_579,TU1401,0.1621464709
911,projekt-detail_1791,IC0702,0.1617244561
68,projekt-detail_073,TU0603,0.161632833
300,projekt-detail_1201,IC0601,0.1615857979
59,projekt-detail_064,ES1407,0.1615689121
611,projekt-detail_1500,IS1106,0.161379418
878,projekt-detail_1760,TD1210,0.1613645708
676,projekt-detail_1569,IC1207,0.1611129524
465,projekt-detail_1361,TU1401,0.1610693899
1178,projekt-detail_321,IS0605,0.1610064411
748,projekt-detail_1637,TU1201,0.1609787295
1371,projekt-detail_527,IS0902,0.1609666175
789,projekt-detail_1676,BM0605,0.1608522374
104,projekt-detail_1010,BM1205,0.1602920362
1298,projekt-detail_446,TD1201,0.1600808922
1226,projekt-detail_370,FA1006,0.1600130751
1686,projekt-detail_877,FA1001,0.159963584
1524,projekt-detail_695,IS1202,0.1599246408
1612,projekt-detail_792,ES0901,0.1598561903
983,projekt-detail_1859,IS0601,0.159612975
1501,projekt-detail_668,FA1005,0.1595912656
973,projekt-detail_184,IC1304,0.1594253017
630,projekt-detail_1519,IS1207,0.1591835454
96,projekt-detail_1001,TU1201,0.1589169501
1749,projekt-detail_943,IS1204,0.1588897645
962,projekt-detail_183,TU0701,0.1586163978
1676,projekt-detail_866,IS1007,0.1585871628
806,projekt-detail_1692,TD1106,0.1584099745
745,projekt-detail_1634,TU1204,0.1582519019
354,projekt-detail_1253,IC1306,0.1581380821
1671,projekt-detail_861,TU0804,0.1580964409
