"","Name","Project","Score"
"1860","project-26471","TD1006",0.252518101275789
"4919","project-7890","MP1006",0.252470490799003
"583","project-15873","FA1006",0.252398030731518
"4354","project-6407","CM1001",0.252323482955948
"202","project-11593","FP1005",0.252279054480909
"3016","project-31618","TD1202",0.252130884767837
"1736","project-25537","MP1203",0.252101883192951
"1392","project-23118","FP1006",0.251911769066151
"896","project-19450","FA1002",0.251893940040364
"2808","project-30901","TU1304",0.251784048764604
"916","project-19586","CM1001",0.251755799602319
"4935","project-7912","MP1006",0.251743043261897
"1494","project-23666","MP1305",0.251620714868711
"4518","project-6788","IC1405",0.251311658471332
"1390","project-23116","ES1301",0.251030778640269
"4124","project-5949","CM1103",0.250915791128605
"2275","project-28562","CM1206",0.250824904315793
"4472","project-6709","MP1006",0.250741612644374
"4710","project-7275","TD1006",0.250643019433257
"2647","project-30337","IS1205",0.250285688631831
"1491","project-23647","ES1406",0.250039743382047
"1169","project-21785","TU1105",0.250027133760496
"1863","project-26476","CM1106",0.249997308868165
"3502","project-33487","MP1004",0.249759776574362
"1060","project-21030","FP1004",0.24972118989219
"756","project-18110","BM1406",0.24969689749532
"1354","project-22916","ES1306",0.249687770303839
"4333","project-6375","CM1003",0.249504342166831
"1119","project-21457","IC1202",0.249459652756445
"3235","project-32543","TD1304",0.249349557836695
"2881","project-31210","TD1304",0.249349557836695
"3915","project-34930","MP1006",0.249271518456293
"3610","project-33899","MP1104",0.248811610774113
"4093","project-5876","FA1208",0.24878446994912
"1208","project-22093","TU1405",0.248540344924306
"2013","project-27155","TU1303",0.248303082059157
"2407","project-29184","ES1406",0.248291713770235
"3498","project-33479","ES1406",0.248257187794635
"2612","project-30207","FA1302",0.248183490028868
"4122","project-5947","BM1406",0.248133476257432
"1656","project-24922","MP1102",0.247705606520176
"1655","project-24920","MP1102",0.247705606520176
"3954","project-35040","BM1103",0.247386871851647
"4371","project-6453","FA1407",0.24726466652252
"782","project-18224","CM1001",0.247060479712233
"2555","project-29880","IC1301",0.247046657405236
