"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Reubi","Olivier","ETH Zürich","Geochemistry","Integrating U-series and petrology to constrain the time scales of arc magmatism",2009
"Riva","Oriana","ETH Zürich","Information Sciences","Nimbus: Personal cloud computing",2010
"Vadas","Oscar","Université de Genève","Biochemistry","How kinases define specificity in lipid signalling?",2013
"Aran","Oya","IDIAP Martigny","Information Sciences","Multimodal Computational Modeling of Nonverbal Social Behavior in Face to Face Interaction",2011
"Fischer","Ozana","Universität Basel","Physical Chemistry","Switchable transport across genetically engineered channel proteins",2010
"Crivelli","Paolo","ETH Zürich","Other disciplines of Physics","Testing antigravity with positronium",2010
"Purtschert","Patricia","ETH Zürich","Philosophy","Kolonialismus ohne Kolonien? Eine postkoloniale Diskursanalyse der Schweiz",2009
"Jermann","Patrick","EPF Lausanne","Information Sciences","Multimodal Interaction Modelling and Regulation of Collaborative Problem-Solving",2009
"Pedrioli","Patrick Gino Angelo","ETH Zürich","Biochemistry","Functional significance and regulation of nucleotide thiolation in RNA molecules",2009
"Vasos","Paul Romeo","EPF Lausanne","Physical Chemistry","Storing slow processes in spin memory: long-lived states",2008
"Castets","Perrine","Universität Basel","Molecular Biology","Importance of the mTORC1 signaling in the maintenance and the plasticity of neuromuscular junctions: involvement of the pathway in the control of autophagy and the regulation of class II histone deacetylases",2014
"Szövényi","Péter","Universität Zürich","Genetics","Gene expression and the evolution of plant alternation of generations",2010
"Bänziger","Peter-Paul","Universität Basel","History in general","The Industrious Subject. A History of Productive Selves, ca. 1890-1990",2013
"Siegl","Petr","Universität Bern","Mathematics","Spectral analysis of non-self-adjoint operators with applications in mathematical physics",2014
"Schmid","Petra","Universität Bern","Psychology","Power effects on decision-making: The role of motivational and cognitive processes",2014
"Brunner","Philip","Université de Neuchâtel","Hydrology, Limnology, Glaciology","Controls and impact of geologic heterogeneity and temporal dynamics in surface water groundwater interaction",2009
"Engel","Philipp","Université de Lausanne","Experimental Microbiology","Functional characterization of microbial symbioses in the honey bee gut microbiota",2013
"Felsch","Philipp","ETH Zürich","History in general","Humboldts Söhne. Das paradigmatische Leben der Brüder Schlagintweit (1820-1890)",2009
"Corboz","Philippe","ETH Zürich","Condensed Matter Physics","Simulation of strongly correlated quantum many-body systems with tensor network and Monte Carlo algorithms",2011
"Mermod","Philippe","Université de Genève","Particle Physics","Searches for Massive Penetrating and Highly-Ionizing Particles with the ATLAS Detector at the Large Hadron Collider",2011
"Valla","Pierre","Université de Lausanne","Geology","Tropical volcanic islands erosion and landscape evolution - Earth surface geochronology, morphometry and numerical modeling",2013
"Courty","Pierre-Emmanuel","Universität Basel","Ecology","Taxonomic and functional diversity of mycorrhizal fungi associated with poplar: an integrative approach",2011
"Junier","Pilar","Université de Neuchâtel","Experimental Microbiology","Metabolic capabilities of spore-forming microorganisms",2009
"Mader","Rachel","Zürcher Hochschule der Künste (ZFH)","Visual arts and Art history","Kunst als Unternehmen - kreative Praxis und Kulturpolitik seit 1980",2009
"Neukom","Raphael","Universität Bern","Climatology, Atmospherical Chemistry, Aeronomy","Detection of human and natural influences on the climate system: regional insights from the past Millennium",2014
"Everts","Regula","Universität Bern","Psychology","Behavioural and Neural Effect of Memory Training in Children born Preterm",2009
"Deguen","Renaud","ETH Zürich","Geophysics","Setting Earth's initial conditions - Compositional and thermal partitioning during metal silicate differentiation in a magma ocean",2012
"Schuepbach","Reto","Universität Zürich","Physiology : other topics","Cytoprotection through non Anticoagulant Engineered Chimeric Activated Protein C",2011
"McKinley","Richard","Universität Bern","Information Sciences","Computational Structure of Classical Duality",2009
"Sawarkar","Ritwick","ETH Zürich","Molecular Biology","Understanding the molecular role of Hsp90 in genotype-phenotype relation by using Drosophila melanogaster as a model",2012
"De Jong","Rixt","Universität Bern","Hydrology, Limnology, Glaciology","Cold-season climate variability in the Chilean Andes during the past millennium",2010
"Zaugg","Roberto","Université de Lausanne","History in general","Connected histories, narrated stories. The journal of a barber-surgeon between journeyman migration and slave trade",2013
"Kouyos","Roger","Universität Zürich","Infectious Diseases","Combining molecular epidemiology approaches and mathematical models for the spread of HIV and its coinfections",2012
"Zech","Roland","ETH Zürich","Geology","Tracking glacial cycles across Eurasia using lipid biomarkers in loess- paleosols-sequences",2010
"Kümmerli","Rolf","EAWAG Dübendorf","Ecology","Evolutionary explanations for the persistence of cooperative siderophore production in the bacterium Pseudomonas aeruginosa",2009
"Felli","Romain","Université de Genève","Political Sciences","The political life of an idea: resilience to environmental change in international organisations",2013
